发表,発表する  他3
合格,合格する  Ｎ  自3
开心，高兴,喜ぶ  自他1
复印,コピー  Ｎ  他3
题目,テーマ   Ｎ
新闻，消息,ニュース  Ｎ
草图，画稿，素描,スケッチ  Ｎ
很晚,夜おそく  副
起名字,名前をつける
表扬,褒める  他2
延长,延びる　自２
有兴趣,興味を持つ
道歉,謝る    他1
原谅，允许，准许,許す   他1
迷路,道に迷う
详细的，仔细的,詳しい  イ形
失去，丧失,失う    他1
忍耐，忍受,我慢  Ｎ  他3
掌握，学会,身につく
一个劲儿，连续不断，旺盛，茁壮,どんどん
减少,減る  自1
守护，遵守,守る   他1
给予，给与,与える  他2
有影响,影響がある
不知不觉、不无形中,知らず知らず　副
所谓的、所说的,いわゆる
高楼，大厦,ビル  Ｎ
排列,立ち並ぶ 自1
几乎与此同时,と同時に
通过，走过,通る  自1
剥夺机会,チャンスを奪う
逐年,年を追う
征收关税,関税をかける
掉落，落下,落ちる  自2
防止,防ぐ    他1
逐年,年を追う
正因为如此～,それだけに～
尽可能,なるべく　副
